region,index,year,value
Central,txx,2006,34.47731
Central,txx,2007,34.15422
Central,txx,2008,35.06599
Central,txx,2009,33.83777
Central,txx,2010,35.75716
Central,txx,2011,36.35231
Central,txx,2012,34.88573
Central,txx,2013,35.75769
Central,txx,2014,35.62618
Central,txx,2015,35.38389
Central,txx,2016,35.67756
Central,txx,2017,36.79903
Central,txx,2018,34.86985
Central,txx,2019,37.04338
Central,txx,2020,36.17331
Central,txx,2021,35.93231
Central,txx,2022,34.59887
Central,txx,2023,36.23244
Central,txx,2024,36.17563
Central,txx,2025,35.66266
Central,tx90p,1981,7.176123
Central,tx90p,1982,9.370636
Central,tx90p,1983,22.42574
Central,tx90p,1984,9.540786
Central,tx90p,1985,2.795516
Central,tx90p,1986,3.613716
Central,tx90p,1987,20.49545
Central,tx90p,1988,8.149563
Central,tx90p,1989,5.88727
Central,tx90p,1990,12.15976
Central,tx90p,1991,6.528084
Central,tx90p,1992,22.29253
Central,tx90p,1993,4.697147
Central,tx90p,1994,18.30021
Central,tx90p,1995,18.30853
Central,tx90p,1996,11.24034
Central,tx90p,1997,9.456651
Central,tx90p,1998,18.54679
Central,tx90p,1999,7.029256
Central,tx90p,2000,2.786353
Central,tx90p,2001,4.437918
Central,tx90p,2002,9.902317
Central,tx90p,2003,7.862175
Central,tx90p,2004,4.078667
Central,tx90p,2005,19.40423
Central,tx90p,2006,4.751679
Central,tx90p,2007,6.749233
Central,tx90p,2008,6.784847
Central,tx90p,2009,3.148747
Central,tx90p,2010,4.716109
Central,tx90p,2011,6.412117
Central,tx90p,2012,5.081754
Central,tx90p,2013,10.63899
Central,tx90p,2014,11.94385
Central,tx90p,2015,10.73835
Central,tx90p,2016,15.55962
Central,tx90p,2017,3.661355
Central,tx90p,2018,8.095964
Central,tx90p,2019,19.15179
Central,tx90p,2020,13.34314
Central,tx90p,2021,9.349154
Central,tx90p,2022,2.280894
Central,tx90p,2023,21.19999
Central,tx90p,2024,35.24413
Central,tx90p,2025,9.867061
Central,su35,1981,3.53862
Central,su35,1982,0.9850076
Central,su35,1983,3.890114
Central,su35,1984,2.96697
Central,su35,1985,0.546855
Central,su35,1986,0.5311008
Central,su35,1987,6.951975
Central,su35,1988,0.9995949
Central,su35,1989,2.669916
Central,su35,1990,4.68298
Central,su35,1991,1.585011
Central,su35,1992,8.053798
Central,su35,1993,2.162637
Central,su35,1994,5.54475
Central,su35,1995,8.737409
Central,su35,1996,10.34236
Central,su35,1997,3.666046
Central,su35,1998,11.38356
Central,su35,1999,4.333286
Central,su35,2000,0.8988003
Central,su35,2001,1.524056
Central,su35,2002,2.412709
Central,su35,2003,4.324125
Central,su35,2004,1.960199
Central,su35,2005,5.906446
Central,su35,2006,2.187213
Central,su35,2007,1.459332
Central,su35,2008,4.502543
Central,su35,2009,0.8441968
Central,su35,2010,6.736366
Central,su35,2011,6.656891
Central,su35,2012,3.770785
Central,su35,2013,6.425212
Central,su35,2014,8.548614
Central,su35,2015,5.028691
Central,su35,2016,10.15243
Central,su35,2017,5.41208
Central,su35,2018,2.585305
Central,su35,2019,11.8626
Central,su35,2020,9.502472
Central,su35,2021,6.480266
Central,su35,2022,2.492234
Central,su35,2023,10.23106
Central,su35,2024,11.65267
Central,su35,2025,5.505416
Central,wsdi,1981,10.08789
Central,wsdi,1982,12.91362
Central,wsdi,1983,32.48453
Central,wsdi,1984,11.16053
Central,wsdi,1985,0
Central,wsdi,1986,3.092603
Central,wsdi,1987,28.38375
Central,wsdi,1988,0.2972641
Central,wsdi,1989,3.195036
Central,wsdi,1990,8.283183
Central,wsdi,1991,0
Central,wsdi,1992,31.0012
Central,wsdi,1993,2.658944
Central,wsdi,1994,25.93141
Central,wsdi,1995,19.51164
Central,wsdi,1996,5.787704
Central,wsdi,1997,9.387931
Central,wsdi,1998,17.55692
Central,wsdi,1999,7.932107
Central,wsdi,2000,0.3449926
Central,wsdi,2001,0.9085057
Central,wsdi,2002,9.503152
Central,wsdi,2003,5.154564
Central,wsdi,2004,0
Central,wsdi,2005,17.04506
Central,wsdi,2006,0
Central,wsdi,2007,3.349829
Central,wsdi,2008,6.32967
Central,wsdi,2009,0
Central,wsdi,2010,0.4304734
Central,wsdi,2011,1.507946
Central,wsdi,2012,0.8876317
Central,wsdi,2013,1.599056
Central,wsdi,2014,7.598367
Central,wsdi,2015,6.823316
Central,wsdi,2016,16.43477
Central,wsdi,2017,0.5184996
Central,wsdi,2018,4.245672
Central,wsdi,2019,23.81807
Central,wsdi,2020,3.995531
Central,wsdi,2021,18.14042
Central,wsdi,2022,0
Central,wsdi,2023,26.6936
Central,wsdi,2024,81.63449
Central,wsdi,2025,3.959203
Copperbelt,txm,1981,26.8052
Copperbelt,txm,1982,26.57608
Copperbelt,txm,1983,27.50561
Copperbelt,txm,1984,26.70906
Copperbelt,txm,1985,26.11297
Copperbelt,txm,1986,26.00961
Copperbelt,txm,1987,27.5494
Copperbelt,txm,1988,26.88505
Copperbelt,txm,1989,26.56705
Copperbelt,txm,1990,27.06583
Copperbelt,txm,1991,26.73794
Copperbelt,txm,1992,27.48325
Copperbelt,txm,1993,26.54511
Copperbelt,txm,1994,27.24492
Copperbelt,txm,1995,27.50427
Copperbelt,txm,1996,27.29762
Copperbelt,txm,1997,26.958
Copperbelt,txm,1998,28.03067
Copperbelt,txm,1999,26.80934
Copperbelt,txm,2000,26.57702
Copperbelt,txm,2001,26.8385
Copperbelt,txm,2002,27.01764
Copperbelt,txm,2003,27.00421
Copperbelt,txm,2004,26.58935
Copperbelt,txm,2005,27.88358
Copperbelt,txm,2006,26.73249
Copperbelt,txm,2007,27.12594
Copperbelt,txm,2008,26.95834
Copperbelt,txm,2009,26.62231
Copperbelt,txm,2010,27.1034
Copperbelt,txm,2011,26.90205
Copperbelt,txm,2012,26.99115
Copperbelt,txm,2013,27.15041
Copperbelt,txm,2014,27.28854
Copperbelt,txm,2015,27.214
Copperbelt,txm,2016,27.35302
Copperbelt,txm,2017,26.73313
Copperbelt,txm,2018,27.05535
Copperbelt,txm,2019,27.45365
Copperbelt,txm,2020,27.01201
Copperbelt,txm,2021,27.04719
Copperbelt,txm,2022,26.45818
Copperbelt,txm,2023,27.59177
Copperbelt,txm,2024,27.82398
Copperbelt,txm,2025,26.56629
Copperbelt,txx,1981,34.63536
Copperbelt,txx,1982,33.89334
Copperbelt,txx,1983,34.73029
Copperbelt,txx,1984,34.22475
Copperbelt,txx,1985,33.13713
Copperbelt,txx,1986,34.25939
Copperbelt,txx,1987,34.97636
Copperbelt,txx,1988,33.4556
Copperbelt,txx,1989,35.24419
Copperbelt,txx,1990,34.83263
Copperbelt,txx,1991,33.59912
Copperbelt,txx,1992,34.84304
Copperbelt,txx,1993,34.51401
Copperbelt,txx,1994,34.57517
Copperbelt,txx,1995,35.12752
Copperbelt,txx,1996,34.67593
Copperbelt,txx,1997,35.00645
Copperbelt,txx,1998,36.07634
Copperbelt,txx,1999,35.80721
Copperbelt,txx,2000,34.03249
Copperbelt,txx,2001,34.03374
Copperbelt,txx,2002,34.54865
Copperbelt,txx,2003,35.88613
Copperbelt,txx,2004,34.70868
Copperbelt,txx,2005,34.74797
Copperbelt,txx,2006,34.09202
Copperbelt,txx,2007,34.48677
Copperbelt,txx,2008,35.45731
Copperbelt,txx,2009,34.772
Copperbelt,txx,2010,35.96582
Copperbelt,txx,2011,35.76097
Copperbelt,txx,2012,34.82957
Copperbelt,txx,2013,35.71988
Copperbelt,txx,2014,35.61115
Copperbelt,txx,2015,34.76527
Copperbelt,txx,2016,35.56502
Copperbelt,txx,2017,36.28502
Copperbelt,txx,2018,35.08145
Copperbelt,txx,2019,35.72789
Copperbelt,txx,2020,35.42005
Copperbelt,txx,2021,35.31142
Copperbelt,txx,2022,34.70788
Copperbelt,txx,2023,35.44321
Copperbelt,txx,2024,35.41351
Copperbelt,txx,2025,34.11445
Copperbelt,tx90p,1981,6.812143
Copperbelt,tx90p,1982,8.96088
Copperbelt,tx90p,1983,17.81965
Copperbelt,tx90p,1984,6.060273
Copperbelt,tx90p,1985,1.939411
Copperbelt,tx90p,1986,2.386069
Copperbelt,tx90p,1987,16.37798
Copperbelt,tx90p,1988,8.98207
Copperbelt,tx90p,1989,5.031389
Copperbelt,tx90p,1990,9.999139
Copperbelt,tx90p,1991,5.13922
Copperbelt,tx90p,1992,14.65668
Copperbelt,tx90p,1993,4.492374
Copperbelt,tx90p,1994,17.72801
Copperbelt,tx90p,1995,11.25201
Copperbelt,tx90p,1996,10.25206
Copperbelt,tx90p,1997,10.1519
Copperbelt,tx90p,1998,22.76195
Copperbelt,tx90p,1999,10.2687
Copperbelt,tx90p,2000,2.596097
Copperbelt,tx90p,2001,7.672429
Copperbelt,tx90p,2002,9.623992
Copperbelt,tx90p,2003,8.73178
Copperbelt,tx90p,2004,4.688404
Copperbelt,tx90p,2005,19.24948
Copperbelt,tx90p,2006,4.564396
Copperbelt,tx90p,2007,11.22068
Copperbelt,tx90p,2008,10.51375
Copperbelt,tx90p,2009,4.845768
Copperbelt,tx90p,2010,8.098552
Copperbelt,tx90p,2011,6.186132
Copperbelt,tx90p,2012,5.507876
Copperbelt,tx90p,2013,8.370864
Copperbelt,tx90p,2014,13.59782
